Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,y,year,rank_diff,pts_diff,odd_diff,h2h_advantage,last_winner,surface_winrate_adv
ASB Classic,2020-01-09,Outdoor,Hard,2nd Round,3,Goerges J.,Teichmann J.,Goerges J.,41,68,1331,855,1.28,3.5,6-3 6-2 ,1,2020,27,476,2.2199999999999998,0,,0.0
ASB Classic,2020-01-09,Outdoor,Hard,2nd Round,3,Mchale C.,Williams S.,Williams S.,86,10,720,3935,6.5,1.11,6-3 2-6 3-6,0,2020,-76,-3215,-5.39,0,,0.0
ASB Classic,2020-01-09,Outdoor,Hard,2nd Round,3,Siegemund L.,Gauff C.,Siegemund L.,73,67,805,855,2.62,1.44,5-7 6-2 6-3,1,2020,-6,-50,-1.1800000000000002,0,,0.0
Brisbane International,2020-01-09,Outdoor,Hard,2nd Round,3,Barty A.,Brady J.,Brady J.,1,53,7851,1047,1.18,4.5,4-6 6-7 ,0,2020,52,6804,3.3200000000000003,0,,0.0
Brisbane International,2020-01-09,Outdoor,Hard,2nd Round,3,Osaka N.,Kenin S.,Osaka N.,4,14,5311,2740,1.53,2.37,6-7 6-3 6-1,1,2020,10,2571,0.8400000000000001,0,,0.0
ASB Classic,2020-01-09,Outdoor,Hard,2nd Round,3,Davis L.,Wozniacki C.,Wozniacki C.,63,39,874,1353,3.4,1.3,1-6 6-4 4-6,0,2020,-24,-479,-2.0999999999999996,0,,0.0
Brisbane International,2020-01-09,Outdoor,Hard,2nd Round,3,Kontaveit A.,Bertens K.,Bertens K.,26,9,1575,4245,2.0,1.72,3-6 6-2 5-7,0,2020,-17,-2670,-0.28,0,,0.0
Brisbane International,2020-01-10,Outdoor,Hard,Quarterfinals,3,Keys M.,Collins D.,Keys M.,13,27,2767,1566,1.72,2.1,6-4 6-1 ,1,2020,14,1201,0.3800000000000001,0,,0.0
ASB Classic,2020-01-10,Outdoor,Hard,Quarterfinals,3,Williams S.,Siegemund L.,Williams S.,10,73,3935,805,1.12,6.0,6-4 6-3 ,1,2020,63,3130,4.88,0,,0.0
Shenzhen Open,2020-01-10,Outdoor,Hard,Semifinals,3,Rybakina E.,Pliskova Kr.,Rybakina E.,36,66,1401,858,1.57,2.37,6-2 7-5 ,1,2020,30,543,0.8,0,,0.0
Brisbane International,2020-01-10,Outdoor,Hard,Quarterfinals,3,Brady J.,Kvitova P.,Kvitova P.,53,7,1047,4721,2.75,1.44,4-6 2-6 ,0,2020,-46,-3674,-1.31,0,,0.0
Shenzhen Open,2020-01-10,Outdoor,Hard,Semifinals,3,Muguruza G.,Alexandrova E.,Alexandrova E.,35,34,1412,1425,2.0,1.8,4-6 3-6 ,0,2020,-1,-13,-0.19999999999999996,0,,0.0
Brisbane International,2020-01-10,Outdoor,Hard,Quarterfinals,3,Osaka N.,Bertens K.,Osaka N.,4,9,5311,4245,1.36,3.2,6-3 3-6 6-3,1,2020,5,1066,1.84,0,,0.0
Brisbane International,2020-01-10,Outdoor,Hard,Quarterfinals,3,Riske A.,Pliskova Ka.,Pliskova Ka.,19,2,2085,5525,3.2,1.36,6-7 3-6 ,0,2020,-17,-3440,-1.84,0,,0.0
ASB Classic,2020-01-10,Outdoor,Hard,Quarterfinals,3,Anisimova A.,Bouchard E.,Anisimova A.,25,262,1734,223,1.3,3.5,6-2 3-6 6-4,1,2020,237,1511,2.2,0,,0.0
ASB Classic,2020-01-10,Outdoor,Hard,Quarterfinals,3,Goerges J.,Wozniacki C.,Wozniacki C.,41,39,1331,1353,1.8,2.0,1-6 4-6 ,0,2020,-2,-22,0.19999999999999996,0,,0.0
Shenzhen Open,2020-01-11,Outdoor,Hard,The Final,3,Rybakina E.,Alexandrova E.,Alexandrova E.,36,34,1401,1425,2.3,1.61,2-6 4-6 ,0,2020,-2,-24,-0.6899999999999997,0,,0.0
Brisbane International,2020-01-11,Outdoor,Hard,Semifinals,3,Osaka N.,Pliskova Ka.,Pliskova Ka.,4,2,5311,5525,1.53,2.5,7-6 6-7 2-6,0,2020,-2,-214,0.97,0,,0.0
ASB Classic,2020-01-11,Outdoor,Hard,Semifinals,3,Wozniacki C.,Pegula J.,Pegula J.,39,82,1353,743,1.28,3.75,6-3 4-6 0-6,0,2020,43,610,2.4699999999999998,0,,0.0
ASB Classic,2020-01-11,Outdoor,Hard,Semifinals,3,Williams S.,Anisimova A.,Williams S.,10,25,3935,1734,1.36,3.2,6-1 6-1 ,1,2020,15,2201,1.84,0,,0.0
Brisbane International,2020-01-11,Outdoor,Hard,Semifinals,3,Keys M.,Kvitova P.,Keys M.,13,7,2767,4721,2.1,1.72,3-6 6-2 6-3,1,2020,-6,-1954,-0.3800000000000001,0,,0.0
ASB Classic,2020-01-12,Outdoor,Hard,The Final,3,Pegula J.,Williams S.,Williams S.,82,10,743,3935,5.5,1.14,3-6 4-6 ,0,2020,-72,-3192,-4.36,0,,0.0
